Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Comment [Organism],Characteristics [GBIF Taxonomy],Characteristics [Open Tree Taxonomy],Characteristics [Specimen Description],Characteristics [Basis of Record],Characteristics [Voucher Specimen],Experimental Condition [Collector],Experimental Condition [Collection Date],Experimental Condition [Identified By],Characteristics [Geodetic Datum],Characteristics [Latitude],Characteristics [Longitude],Characteristics [Elevation],Characteristics [Coordinate Precision],Experimental Condition [Microscope],Experimental Condition [Microscope Instrument],Experimental Condition [Microscope Contrast Method],Experimental Condition [Microscope Magnification],Experimental Condition [Microscope Objective],Comment [Image File],Comment [Multi-Focus Image Fusion Stack],Comment [Image Stitching Stack],Comment [Image Description],Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
Diplophyllum albicans,IMG_0004 Diplophyllum albicans voucher specimen.ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,voucher specimen,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,,,Raw,IMG_0004 Diplophyllum albicans voucher specimen,IMG_0004 Diplophyllum albicans voucher specimen,NCBI specimen voucher,,,,
Diplophyllum albicans,IMG_0006-0060 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0006-0060 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0061-0110 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0061-0110 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0111-0160 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0111-0160 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0161-0210 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0161-0210 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0211-0260 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0211-0260 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0261-0310 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0261-0310 Diplophyllum albicans stature ventral side (2.5x),IMG_0261-0360 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0311-0360 Diplophyllum albicans stature ventral side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0311-0360 Diplophyllum albicans stature ventral side (2.5x),IMG_0261-0360 Diplophyllum albicans stature ventral side (2.5x),,,,,
Diplophyllum albicans,IMG_0361-0410 Diplophyllum albicans stature dorsal side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0361-0410 Diplophyllum albicans stature dorsal side (2.5x),IMG_0361-0460 Diplophyllum albicans stature dorsal side (2.5x),,,,,
Diplophyllum albicans,IMG_0411-0460 Diplophyllum albicans stature dorsal side (2.5x).ome.tiff,Diplophyllum albicans,NCBI Taxon,NCBI_264775,Diplophyllum albicans (L.) Dumort.,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,24/08/2020,,,,,,,Microscopy Imaging,,,2.5x,,Raw,IMG_0411-0460 Diplophyllum albicans stature dorsal side (2.5x),IMG_0361-0460 Diplophyllum albicans stature dorsal side (2.5x),,,,,
